#;DATETIME;iDay;OPEN;HIGH;LOW;CLOSE;5-Costf L;6-200DMA
23652;1284530400;990;1.2966;1.2967;1.2955;1.2965;-0.04874663;1.3261927
23651;1284534000;990;1.2965;1.2982;1.2959;1.2976;-0.0469328;1.3261927
23650;1284537600;990;1.2976;1.2996;1.2969;1.2992;-0.04079433;1.3261927
23649;1284541200;990;1.2993;1.2993;1.2969;1.299;-0.04056967;1.3261927
23648;1284544800;990;1.2989;1.3011;1.2972;1.2986;-0.04119821;1.3261927
23647;1284548400;990;1.2986;1.3003;1.296;1.2969;-0.04688102;1.3261927
23646;1284552000;990;1.2967;1.2983;1.2962;1.2977;-0.04484858;1.3261927
23645;1284555600;990;1.2977;1.2983;1.2959;1.296;-0.04907407;1.3261927
23644;1284559200;990;1.296;1.2994;1.296;1.2986;-0.04366241;1.3261927
23643;1284562800;990;1.2987;1.2992;1.2969;1.2982;-0.04822061;1.3261927
23642;1284566400;990;1.2982;1.3015;1.2974;1.2992;-0.04749076;1.3261927
23641;1284570000;990;1.2992;1.303;1.2984;1.3026;-0.04022724;1.3261927
23640;1284573600;990;1.3026;1.3035;1.2997;1.3006;-0.04367215;1.3261927
23639;1284577200;990;1.3006;1.3013;1.2983;1.3;-0.04438462;1.3261927
23638;1284580800;990;1.3;1.302;1.2999;1.3018;-0.04055923;1.3261927
23637;1284584400;990;1.3018;1.3019;1.3001;1.3006;-0.04974627;1.3261927
23636;1284588000;990;1.3005;1.3021;1.2998;1.3009;-0.04765931;1.3261927
23635;1284591600;990;1.301;1.3014;1.3006;1.301;-0.04681015;1.3261927
23634;1284595200;989;1.3009;1.3014;1.3002;1.3011;-0.04519253;1.3252848
23633;1284598800;989;1.3011;1.3018;1.3008;1.3011;-0.04188763;1.3252848
23632;1284602400;989;1.3012;1.3013;1.3003;1.301;-0.04089162;1.3252848
23631;1284606000;989;1.3009;1.301;1.2987;1.2994;-0.04140372;1.3252848
23630;1284609600;989;1.2993;1.3005;1.2987;1.3;-0.04638462;1.3252848
23629;1284613200;989;1.3001;1.3004;1.2981;1.2985;-0.05013477;1.3252848
23628;1284616800;989;1.2984;1.2989;1.2975;1.2985;-0.04913362;1.3252848
23627;1284620400;989;1.2986;1.2995;1.2984;1.2991;-0.04818721;1.3252848
